Atlantis,Europa,Pandora,Neuronia,Brick
302.65,557.5,55.75,55.75,32.0
302.69999999999993,557.5,55.75,55.75,32.0
302.69999999999993,557.5500000000001,55.75,55.75,32.0
302.69999999999993,557.5500000000001,55.800000000000004,55.75,32.0
302.69999999999993,557.5500000000001,55.800000000000004,55.800000000000004,32.0
302.69999999999993,557.5500000000001,55.800000000000004,55.800000000000004,32.05
302.74999999999994,557.5500000000001,55.800000000000004,55.800000000000004,32.05
302.74999999999994,557.5999999999999,55.800000000000004,55.800000000000004,32.05
302.74999999999994,557.5999999999999,55.85,55.800000000000004,32.05
302.74999999999994,557.5999999999999,55.85,55.85,32.05
302.74999999999994,557.5999999999999,55.85,55.85,32.099999999999994
302.8,557.5999999999999,55.85,55.85,32.099999999999994
302.8,557.6500000000001,55.85,55.85,32.099999999999994
302.8,557.6500000000001,55.900000000000006,55.85,32.099999999999994
302.8,557.6500000000001,55.900000000000006,55.900000000000006,32.099999999999994
302.8,557.6500000000001,55.900000000000006,55.900000000000006,32.150000000000006
302.85,557.6500000000001,55.900000000000006,55.900000000000006,32.150000000000006
302.85,557.7,55.900000000000006,55.900000000000006,32.150000000000006
302.85,557.7,55.95,55.900000000000006,32.150000000000006
302.85,557.7,55.95,55.95,32.150000000000006
302.85,557.7,55.95,55.95,32.2
302.9,557.7,55.95,55.95,32.2
302.9,557.75,55.95,55.95,32.2
302.9,557.75,56.00000000000001,55.95,32.2
302.9,557.75,56.00000000000001,56.00000000000001,32.2
302.9,557.75,56.00000000000001,56.00000000000001,32.25
302.95,557.75,56.00000000000001,56.00000000000001,32.25
302.95,557.8,56.00000000000001,56.00000000000001,32.25
302.95,557.8,56.05,56.00000000000001,32.25
302.95,557.8,56.05,56.05,32.25
302.95,557.8,56.05,56.05,32.300000000000004
303.0,557.8,56.05,56.05,32.300000000000004
303.0,557.8499999999999,56.05,56.05,32.300000000000004
303.0,557.8499999999999,56.099999999999994,56.05,32.300000000000004
303.0,557.8499999999999,56.099999999999994,56.099999999999994,32.300000000000004
303.0,557.8499999999999,56.099999999999994,56.099999999999994,32.35
303.05,557.8499999999999,56.099999999999994,56.099999999999994,32.35
